                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6146,                 4.4313,                 4.1531,                0.00217,                0.36341,                0.01139,                0.00453,                 3.5437,                 3.8517,                 4.0388,               0.070536,              0.0032738,              0.0032738
                      2,                 3.5065,                 4.1049,                 3.8784,                0.00083,                0.33333,                0.00311,                0.00142,                 3.5123,                 3.6959,                 3.8892,                0.04053,              0.0066019,              0.0066019
                      3,                 3.1561,                 3.8197,                 3.5043,                0.70217,                0.01961,                0.01751,                0.00254,                 3.4359,                 5.2885,                 3.7628,                0.01052,              0.0099246,              0.0099246
                      4,                 2.7968,                 3.5957,                 3.1297,                0.51006,                 0.0098,                0.00737,                0.00227,                 3.1116,                 13.673,                 3.5157,               0.009976,               0.009976,               0.009976
                      5,                 2.5603,                 3.2486,                 2.8745,                0.16888,                 0.0098,                0.00094,                0.00032,                 3.0962,                 36.683,                 3.5846,               0.009968,               0.009968,               0.009968
                      6,                 2.3659,                 2.9926,                 2.6691,                0.22357,                 0.1923,                0.04334,                0.02472,                 2.9873,                 17.463,                  3.468,                0.00996,                0.00996,                0.00996
                      7,                 2.2276,                 2.7935,                 2.5254,                0.69867,                0.06061,                0.05433,                0.01414,                 2.5437,                 6.9384,                 3.1003,               0.009952,               0.009952,               0.009952
                      8,                 2.1101,                 2.5846,                 2.4219,                0.53945,                0.18015,                0.12251,                0.05172,                 2.4679,                 6.6642,                 2.8728,               0.009944,               0.009944,               0.009944
                      9,                 2.0161,                 2.4449,                 2.3272,                0.34766,                0.56772,                0.43313,                 0.1686,                 2.0634,                 2.2944,                 2.4326,               0.009936,               0.009936,               0.009936
                     10,                 1.9351,                 2.2923,                 2.2432,                0.88141,                0.05882,                0.10046,                0.03199,                 2.7585,                 5.1765,                  3.101,               0.009928,               0.009928,               0.009928
                     11,                 1.8686,                 2.2261,                 2.1833,                0.79815,                0.15319,                0.20714,                0.07578,                 2.3264,                 4.4543,                 2.7612,                0.00992,                0.00992,                0.00992
                     12,                 1.8261,                 2.1331,                 2.1514,                0.40103,                0.44026,                0.33574,                0.16283,                 1.9684,                 2.4672,                 2.3665,               0.009912,               0.009912,               0.009912
                     13,                 1.8027,                 2.0746,                 2.0933,                0.47284,                0.60498,                0.55697,                0.22254,                 1.9183,                 1.8343,                 2.2026,               0.009904,               0.009904,               0.009904
                     14,                 1.7564,                 2.0147,                 2.0726,                0.52534,                0.11152,                0.08769,                0.03533,                 2.6788,                 4.3341,                 3.0216,               0.009896,               0.009896,               0.009896
                     15,                 1.7486,                   1.99,                 2.0468,                0.41521,                0.54878,                0.50526,                0.21516,                 1.9595,                 1.9192,                 2.2641,               0.009888,               0.009888,               0.009888
