                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2472,                 4.3795,                  4.133,                 0.0008,                0.16931,                0.00096,                0.00035,                 4.6265,                 3.6048,                 4.0293,                0.07025,              0.0033056,              0.0033056
                      2,                 3.8924,                 3.5267,                 3.5988,                0.36685,                 0.0582,                 0.0247,                0.00662,                   3.66,                 16.998,                 3.2113,               0.040243,              0.0066323,              0.0066323
                      3,                 3.0522,                  2.743,                 2.8817,                0.03483,                0.13862,                0.01288,                0.00414,                 4.1893,                 22.391,                 3.8594,                0.01023,              0.0099523,              0.0099523
                      4,                 2.5111,                 2.3232,                 2.4263,                0.13401,                0.33285,                0.07062,                0.01884,                  3.186,                 8.0464,                 2.6709,                0.00997,                0.00997,                0.00997
                      5,                 2.1933,                 2.0055,                 2.1503,                0.45043,                0.11005,                0.09141,                0.03602,                 2.8059,                  3.846,                 2.3972,                0.00996,                0.00996,                0.00996
                      6,                 2.0213,                 1.8179,                 1.9888,                0.13352,                0.24471,                0.07411,                0.02582,                 2.7019,                 3.8148,                 2.4999,                0.00995,                0.00995,                0.00995
                      7,                 1.9074,                 1.7006,                 1.8988,                0.33917,                 0.1842,                0.11617,                0.04146,                 2.5824,                  3.365,                 2.2925,                0.00994,                0.00994,                0.00994
                      8,                 1.8485,                 1.6355,                  1.837,                0.04823,                0.06825,                0.02366,                0.01106,                 3.0041,                 4.5326,                 2.5902,                0.00993,                0.00993,                0.00993
                      9,                 1.7892,                 1.5984,                 1.7782,                0.50204,                0.39133,                0.39461,                0.18972,                 2.1334,                 2.2976,                 1.9022,                0.00992,                0.00992,                0.00992
                     10,                 1.7708,                 1.5602,                 1.7479,                0.52454,                0.53014,                0.52035,                0.24079,                 1.8989,                 1.7537,                 1.7228,                0.00991,                0.00991,                0.00991
                     11,                 1.7524,                 1.5477,                 1.7365,                0.40383,                0.38016,                0.34794,                0.16853,                 2.0008,                 2.3063,                 1.8584,                 0.0099,                 0.0099,                 0.0099
                     12,                 1.7057,                 1.4957,                 1.6945,                0.71358,                0.23611,                0.31234,                0.15345,                 2.3658,                 2.4583,                 2.0743,                0.00989,                0.00989,                0.00989
                     13,                 1.6947,                 1.5024,                 1.6798,                0.54284,                0.62341,                0.55949,                0.28996,                 1.8621,                 1.6781,                 1.6514,                0.00988,                0.00988,                0.00988
                     14,                 1.6761,                 1.4471,                 1.6644,                0.28971,                0.28408,                0.26147,                0.12654,                 2.5085,                 2.7793,                 2.1916,                0.00987,                0.00987,                0.00987
                     15,                 1.6543,                 1.4326,                 1.6445,                0.53196,                0.62472,                0.57008,                0.28149,                 1.8532,                 1.6605,                 1.6357,                0.00986,                0.00986,                0.00986
                     16,                 1.6466,                 1.4198,                 1.6251,                0.47894,                0.44696,                0.44981,                0.21561,                 2.1518,                 2.0787,                 1.9144,                0.00985,                0.00985,                0.00985
                     17,                 1.6246,                 1.4086,                 1.6177,                0.50067,                0.38439,                0.40799,                0.21967,                 2.1749,                 2.0579,                 1.8977,                0.00984,                0.00984,                0.00984
                     18,                  1.626,                 1.3998,                  1.608,                0.63382,                0.56644,                0.54127,                0.27907,                 1.8001,                 1.6474,                 1.6576,                0.00983,                0.00983,                0.00983
                     19,                 1.5945,                 1.3609,                 1.5918,                0.65616,                0.62447,                0.60609,                0.29649,                 1.7513,                 1.5208,                 1.5855,                0.00982,                0.00982,                0.00982
                     20,                 1.6056,                 1.3706,                 1.5956,                0.72321,                0.62464,                0.65817,                0.33782,                 1.8163,                 1.4046,                 1.6182,                0.00981,                0.00981,                0.00981
                     21,                 1.5898,                 1.3491,                 1.5787,                0.67781,                0.62282,                0.66483,                0.35933,                 1.6755,                 1.4382,                 1.5119,                 0.0098,                 0.0098,                 0.0098
                     22,                 1.5836,                 1.3532,                 1.5708,                0.50244,                0.51812,                0.45889,                0.24087,                 1.8054,                 1.8037,                 1.6223,                0.00979,                0.00979,                0.00979
                     23,                 1.5741,                 1.3359,                 1.5607,                0.59396,                0.59551,                0.59782,                0.29775,                 1.8104,                 1.4911,                 1.5589,                0.00978,                0.00978,                0.00978
