                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5573,                 1.6761,                 1.8342,                0.58795,                0.27706,                0.36625,                0.17959,                 2.1976,                 2.6433,                 2.5696,              0.0090933,              0.0090933,              0.0090933
                     36,                 1.5445,                 1.6442,                 1.8185,                0.61422,                0.63038,                0.61206,                0.30833,                 1.7517,                 1.6565,                 2.0404,              0.0090667,              0.0090667,              0.0090667
                     37,                 1.5365,                 1.6326,                 1.8125,                0.75168,                0.48063,                0.52835,                0.30746,                 1.7217,                 1.6374,                 1.9723,                0.00904,                0.00904,                0.00904
                     38,                 1.5318,                 1.6283,                 1.7989,                0.71383,                0.61519,                0.68737,                0.28882,                 1.7411,                 1.4926,                 2.0768,              0.0090133,              0.0090133,              0.0090133
                     39,                 1.5259,                   1.65,                 1.7952,                0.57347,                0.65704,                0.62876,                 0.3265,                 1.6258,                 1.5167,                 1.8836,              0.0089867,              0.0089867,              0.0089867
                     40,                 1.5388,                 1.6284,                 1.7852,                0.64234,                0.39916,                0.51821,                0.23318,                 1.9426,                  2.129,                  2.249,                0.00896,                0.00896,                0.00896
                     41,                 1.5239,                 1.6274,                 1.7867,                0.65443,                0.62836,                0.67263,                0.31336,                 1.6181,                 1.7507,                 1.9146,              0.0089333,              0.0089333,              0.0089333
                     42,                   1.52,                 1.6081,                 1.7786,                0.34814,                0.36358,                0.29422,                0.12958,                 2.1065,                 2.7094,                 2.4067,              0.0089067,              0.0089067,              0.0089067
                     43,                 1.5113,                 1.6176,                  1.772,                0.64398,                0.48059,                0.52521,                0.26742,                  1.843,                 1.8389,                 2.1406,                0.00888,                0.00888,                0.00888
                     44,                 1.5337,                 1.5915,                 1.7839,                0.52488,                0.62108,                0.69164,                0.31979,                 1.6449,                 1.4698,                 1.9779,              0.0088533,              0.0088533,              0.0088533
                     45,                 1.4998,                 1.5745,                 1.7615,                0.62531,                0.62076,                0.63118,                0.30071,                 1.8163,                 1.5153,                 2.1259,              0.0088267,              0.0088267,              0.0088267
                     46,                 1.5121,                 1.5809,                 1.7693,                0.03618,                0.20738,                0.08164,                0.02655,                 3.1626,                 5.3742,                 3.7127,                 0.0088,                 0.0088,                 0.0088
                     47,                 1.5111,                 1.6101,                 1.7872,                0.58738,                0.41136,                0.48626,                0.17612,                  2.172,                    2.4,                 2.5232,              0.0087733,              0.0087733,              0.0087733
                     48,                 1.4802,                 1.5601,                 1.7437,                0.72862,                0.60369,                0.64921,                0.31748,                 1.7599,                 1.3959,                  2.013,              0.0087467,              0.0087467,              0.0087467
                     49,                 1.4783,                 1.5595,                 1.7437,                0.45884,                0.29621,                0.24128,                0.12304,                 2.2936,                 2.9878,                 2.6137,                0.00872,                0.00872,                0.00872
                     50,                 1.5029,                  1.586,                 1.7608,                0.51063,                0.62305,                0.54194,                0.28905,                  1.836,                  1.687,                 2.1968,              0.0086933,              0.0086933,              0.0086933
                     51,                 1.4849,                 1.5658,                  1.754,                0.02513,                0.22426,                0.03563,                0.01056,                 3.0518,                 5.5583,                 3.7781,              0.0086667,              0.0086667,              0.0086667
                     52,                 1.4816,                 1.5691,                 1.7533,                0.61928,                0.59243,                 0.6549,                 0.2955,                  1.723,                  1.671,                 2.0595,                0.00864,                0.00864,                0.00864
                     53,                 1.4663,                 1.5538,                 1.7307,                0.59817,                0.62325,                0.65505,                0.33635,                 1.7756,                 1.4956,                  2.101,              0.0086133,              0.0086133,              0.0086133
                     54,                 1.4965,                 1.5555,                 1.7532,                0.90279,                0.09804,                0.17308,                0.05909,                 2.5745,                 4.2468,                 3.0861,              0.0085867,              0.0085867,              0.0085867
                     55,                 1.4781,                 1.5554,                  1.741,                0.91517,                0.06863,                0.17279,                0.06559,                 2.5398,                 4.3662,                  2.971,                0.00856,                0.00856,                0.00856
