                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6202,                 4.4573,                 4.1638,                0.00239,                0.39404,                0.01117,                 0.0032,                 3.5532,                 3.8998,                 4.0681,               0.070536,              0.0032738,              0.0032738
                      2,                 3.5356,                 4.1727,                 3.9425,                0.00016,                0.14583,                0.00235,                 0.0009,                 3.5217,                 3.6491,                 3.9042,                0.04053,              0.0066019,              0.0066019
                      3,                 3.1271,                 3.8188,                 3.4986,                0.00016,                0.14583,                0.00235,                 0.0009,                 3.3776,                  8.118,                 4.2156,                0.01052,              0.0099246,              0.0099246
                      4,                 2.7231,                 3.4036,                 3.0659,                0.17227,                0.19132,                0.00327,                0.00056,                 3.2638,                 32.205,                 3.7959,               0.009976,               0.009976,               0.009976
                      5,                 2.4887,                 3.0943,                 2.8194,                0.67742,                0.01961,                 0.0083,                0.00224,                 3.0338,                 16.552,                 3.4364,               0.009968,               0.009968,               0.009968
                      6,                 2.3109,                 2.8619,                 2.6711,                0.00699,                0.02941,                0.00528,                0.00188,                 3.0387,                 14.188,                 3.8807,                0.00996,                0.00996,                0.00996
                      7,                 2.1603,                 2.6601,                  2.531,                0.41231,                0.18571,                0.10142,                 0.0351,                 2.4098,                 3.6941,                 2.8987,               0.009952,               0.009952,               0.009952
                      8,                 2.0365,                 2.4513,                 2.4116,                0.29356,                0.51133,                0.40002,                0.15945,                 2.0715,                 2.5521,                  2.574,               0.009944,               0.009944,               0.009944
                      9,                 1.9375,                 2.3421,                 2.3166,                0.36015,                0.15477,                0.15942,                0.05935,                 2.2964,                 3.3067,                 2.7168,               0.009936,               0.009936,               0.009936
                     10,                 1.8705,                   2.22,                 2.2509,                0.33921,                0.21823,                0.12685,                 0.0401,                 2.4006,                 3.2169,                 2.8599,               0.009928,               0.009928,               0.009928
                     11,                 1.8045,                  2.157,                 2.1809,                0.40034,                0.34505,                0.33864,                0.10954,                 2.2226,                 2.5271,                 2.6504,                0.00992,                0.00992,                0.00992
                     12,                 1.7807,                 2.0997,                 2.1603,                0.42692,                0.55844,                0.56864,                0.24739,                 1.7724,                 1.8597,                 2.1314,               0.009912,               0.009912,               0.009912
                     13,                 1.7592,                  2.033,                  2.101,                0.26535,                 0.3276,                0.29444,                0.12166,                 2.3284,                 3.1803,                 2.7793,               0.009904,               0.009904,               0.009904
                     14,                 1.7115,                 1.9782,                 2.0739,                0.58048,                0.59515,                0.57107,                0.26943,                   1.76,                 1.7963,                 2.1412,               0.009896,               0.009896,               0.009896
                     15,                 1.6987,                 1.9617,                 2.0494,                0.38961,                0.14338,                0.04243,                0.01619,                 2.8489,                 4.9261,                 3.2865,               0.009888,               0.009888,               0.009888
                     16,                 1.6657,                 1.9091,                 2.0269,                0.41333,                0.42431,                 0.3367,                0.12784,                 2.2708,                 2.8598,                 2.6396,                0.00988,                0.00988,                0.00988
                     17,                 1.6611,                 1.8937,                 2.0041,                 0.6241,                0.46294,                0.55802,                0.25386,                 1.8515,                 1.7549,                 2.2201,               0.009872,               0.009872,               0.009872
                     18,                 1.6564,                 1.8676,                 1.9833,                0.39715,                0.30546,                0.31051,                0.12477,                 2.0735,                 3.0402,                   2.56,               0.009864,               0.009864,               0.009864
                     19,                 1.6281,                 1.8552,                 1.9762,                0.59562,                0.35861,                0.39047,                0.16044,                 2.0661,                 2.4175,                 2.3561,               0.009856,               0.009856,               0.009856
                     20,                 1.6379,                 1.8347,                 1.9719,                0.33651,                0.30963,                0.24937,                 0.1106,                 2.0185,                 2.5271,                 2.3955,               0.009848,               0.009848,               0.009848
                     21,                 1.6223,                 1.8241,                 1.9513,                0.42339,                0.18014,                0.14441,                0.04511,                 2.3081,                 4.1154,                 2.9592,                0.00984,                0.00984,                0.00984
