                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4433,                 1.1181,                 1.4131,                 0.7341,                0.49687,                0.52499,                0.28674,                 1.9006,                 2.2114,                 1.7867,              0.0090933,              0.0090933,              0.0090933
                     36,                 1.4392,                 1.1058,                 1.4085,                 0.6843,                 0.6958,                0.74195,                0.41729,                 1.5518,                 1.2203,                 1.4945,              0.0090667,              0.0090667,              0.0090667
                     37,                 1.4171,                 1.0954,                 1.3974,                0.73154,                0.63011,                0.69693,                0.38003,                 1.6963,                  1.416,                 1.5877,                0.00904,                0.00904,                0.00904
                     38,                 1.4102,                 1.0754,                 1.3952,                0.73211,                0.71075,                 0.7716,                0.42986,                 1.5364,                 1.1532,                 1.4859,              0.0090133,              0.0090133,              0.0090133
                     39,                 1.4115,                 1.0815,                 1.3954,                0.71776,                0.56894,                0.63337,                0.34774,                 1.8089,                 1.6331,                 1.6577,              0.0089867,              0.0089867,              0.0089867
                     40,                 1.4075,                  1.087,                 1.3849,                0.70071,                0.69107,                0.74426,                0.40673,                 1.6157,                 1.2292,                  1.516,                0.00896,                0.00896,                0.00896
                     41,                  1.399,                  1.077,                 1.3847,                0.78148,                0.70601,                0.79629,                0.44895,                 1.5225,                 1.0854,                 1.4742,              0.0089333,              0.0089333,              0.0089333
                     42,                 1.3955,                 1.0637,                 1.3786,                0.70328,                0.63271,                0.68352,                0.37678,                 1.6917,                 1.3115,                 1.5645,              0.0089067,              0.0089067,              0.0089067
                     43,                 1.3995,                 1.0685,                 1.3808,                0.74646,                0.72571,                0.79712,                0.46136,                 1.4803,                 1.0675,                 1.4399,                0.00888,                0.00888,                0.00888
                     44,                 1.3964,                 1.0793,                 1.3757,                0.68816,                0.57967,                0.63371,                0.34846,                 1.7048,                 1.4274,                 1.6043,              0.0088533,              0.0088533,              0.0088533
                     45,                 1.3954,                 1.0558,                 1.3769,                0.71128,                0.69904,                0.75035,                0.42331,                 1.6087,                 1.1777,                 1.5127,              0.0088267,              0.0088267,              0.0088267
                     46,                 1.3836,                 1.0601,                 1.3758,                0.75549,                0.73731,                0.79544,                0.44904,                 1.5567,                  1.096,                  1.476,                 0.0088,                 0.0088,                 0.0088
                     47,                 1.3927,                  1.059,                 1.3708,                0.67849,                0.46323,                0.47221,                0.26219,                 1.9912,                 1.9809,                 1.8158,              0.0087733,              0.0087733,              0.0087733
                     48,                  1.382,                 1.0596,                 1.3655,                0.75985,                0.69229,                0.77015,                0.44566,                 1.5171,                 1.0877,                  1.472,              0.0087467,              0.0087467,              0.0087467
                     49,                 1.3836,                 1.0564,                 1.3626,                0.75149,                0.66453,                0.73594,                0.41281,                 1.5969,                 1.2166,                 1.5271,                0.00872,                0.00872,                0.00872
                     50,                 1.3619,                 1.0464,                 1.3518,                0.71694,                0.64396,                0.69934,                0.38942,                 1.6591,                 1.4072,                 1.5397,              0.0086933,              0.0086933,              0.0086933
                     51,                 1.3726,                 1.0439,                 1.3622,                0.73861,                0.66605,                0.73966,                0.40678,                 1.6503,                 1.2217,                 1.5241,              0.0086667,              0.0086667,              0.0086667
                     52,                 1.3628,                 1.0406,                 1.3514,                0.65658,                0.58026,                0.61097,                0.33949,                 1.8581,                 1.5275,                 1.6988,                0.00864,                0.00864,                0.00864
                     53,                 1.3706,                 1.0334,                 1.3492,                0.63796,                0.53817,                 0.5555,                0.31277,                 1.8522,                 1.8502,                 1.6866,              0.0086133,              0.0086133,              0.0086133
                     54,                 1.3619,                 1.0153,                 1.3404,                0.73041,                0.48792,                0.51595,                0.31074,                 1.8681,                 2.0774,                 1.7105,              0.0085867,              0.0085867,              0.0085867
                     55,                 1.3578,                 1.0125,                 1.3381,                0.77388,                0.77129,                0.82503,                  0.481,                 1.4805,                 1.0169,                 1.4187,                0.00856,                0.00856,                0.00856
                     56,                 1.3629,                 1.0151,                 1.3465,                0.78115,                 0.7707,                0.82811,                0.48306,                 1.4778,                 1.0081,                 1.4191,              0.0085333,              0.0085333,              0.0085333
                     57,                 1.3536,                 1.0062,                 1.3438,                0.74485,                0.70167,                0.76254,                0.42984,                 1.5553,                 1.1277,                 1.4495,              0.0085067,              0.0085067,              0.0085067
                     58,                 1.3503,                 1.0159,                 1.3318,                0.79064,                0.76067,                0.82813,                0.48794,                 1.4616,                 1.0049,                 1.4195,                0.00848,                0.00848,                0.00848
                     59,                 1.3525,                 1.0146,                 1.3351,                0.76917,                0.73552,                0.80462,                0.46079,                 1.5493,                 1.0618,                 1.4746,              0.0084533,              0.0084533,              0.0084533
                     60,                 1.3466,                 1.0085,                 1.3296,                0.79687,                0.70974,                 0.8114,                0.46938,                 1.5111,                 1.0334,                  1.425,              0.0084267,              0.0084267,              0.0084267
                     61,                  1.357,                 1.0078,                 1.3377,                0.73848,                0.70217,                0.75284,                0.42667,                 1.5806,                 1.1686,                 1.4835,                 0.0084,                 0.0084,                 0.0084
                     62,                 1.3505,                 1.0116,                 1.3292,                0.69054,                0.65942,                0.70309,                0.40254,                 1.6096,                 1.2681,                 1.5051,              0.0083733,              0.0083733,              0.0083733
                     63,                   1.33,                0.99495,                 1.3228,                0.70493,                0.63719,                0.69191,                 0.3907,                 1.6928,                 1.3075,                 1.5602,              0.0083467,              0.0083467,              0.0083467
                     64,                 1.3434,                0.99439,                 1.3365,                0.75633,                0.64881,                  0.722,                0.40386,                 1.6546,                 1.2962,                 1.5202,                0.00832,                0.00832,                0.00832
                     65,                 1.3334,                 1.0048,                 1.3249,                0.71273,                0.60382,                0.66037,                 0.3657,                 1.7322,                 1.4987,                 1.6043,              0.0082933,              0.0082933,              0.0082933
                     66,                 1.3301,                 1.0041,                 1.3151,                0.73297,                0.68605,                0.74661,                0.42328,                  1.565,                  1.155,                 1.4766,              0.0082667,              0.0082667,              0.0082667
                     67,                 1.3441,                0.99882,                 1.3254,                0.77272,                0.75267,                0.81809,                0.48799,                 1.4239,                 1.0131,                 1.3873,                0.00824,                0.00824,                0.00824
                     68,                 1.3335,                0.98709,                 1.3281,                0.77347,                0.74328,                 0.8057,                0.45899,                 1.5447,                 1.0578,                 1.4605,              0.0082133,              0.0082133,              0.0082133
                     69,                 1.3204,                0.99138,                 1.3105,                0.74555,                0.70129,                0.76008,                0.43504,                 1.5912,                 1.1537,                 1.5041,              0.0081867,              0.0081867,              0.0081867
                     70,                 1.3223,                0.97785,                 1.3204,                 0.7885,                0.77025,                0.83904,                0.50799,                 1.3862,                0.95885,                 1.3495,                0.00816,                0.00816,                0.00816
                     71,                 1.3189,                0.98226,                 1.3182,                0.73683,                0.73953,                0.79184,                0.45292,                 1.5385,                 1.0739,                 1.4204,              0.0081333,              0.0081333,              0.0081333
